flowid	begin	end	duration	size

1337794709092046012	0.00073981285095214844	59.97384381294250488281	59.97310400009155273438	42056
-4327839481606209654	0.00108098983764648438	0.89021301269531250000	0.88913202285766601562	47921
5731300584920481294	0.01229500770568847656	0.01229500770568847656	0.00000000000000000000	76
-8500909213840586346	0.01836299896240234375	1.39450502395629882812	1.37614202499389648438	2338
-1968756618010075353	0.02163720130920410156	14.42328810691833496094	14.40165090560913085938	31333
3609466963229748303	0.02435398101806640625	2.77984619140625000000	2.75549221038818359375	1117240
-6436830887507151017	0.02798795700073242188	1.79685306549072265625	1.76886510848999023438	1263
3670255763721314067	0.05070781707763671875	1.71894216537475585938	1.66823434829711914062	2975
1288748707016362657	0.05380296707153320312	8.72582411766052246094	8.67202115058898925781	1145
-9142124489278913229	0.06471705436706542969	58.24569606781005859375	58.18097901344299316406	28186
3941226802277292701	0.09903097152709960938	53.32932424545288085938	53.23029327392578125000	10678
4201362322218111411	0.10502219200134277344	59.75776696205139160156	59.65274477005004882812	29715
-5307742374953872622	0.11248183250427246094	59.12871384620666503906	59.01623201370239257812	4003
-562450150470409703	0.12687802314758300781	59.95505881309509277344	59.82818078994750976562	52348
5567638689149213301	0.13523721694946289062	3.08919000625610351562	2.95395278930664062500	818
-3746318751107540780	0.13777208328247070312	0.13777208328247070312	0.00000000000000000000	131
1251180248777445310	0.15147399902343750000	59.87299585342407226562	59.72152185440063476562	559170
781347011434868625	0.16185975074768066406	0.56695389747619628906	0.40509414672851562500	120
3460923950851763655	0.16926121711730957031	10.60523700714111328125	10.43597579002380371094	82360
1683908788296703276	0.16969418525695800781	45.31526207923889160156	45.14556789398193359375	80
-7571576801047206061	0.17223620414733886719	59.96891093254089355469	59.79667472839355468750	12960
4239652476884311133	0.18406677246093750000	57.94715714454650878906	57.76309037208557128906	2405
-2426193567692436453	0.18513417243957519531	3.01213407516479492188	2.82699990272521972656	822
-2404089202100539383	0.26915907859802246094	1.79964280128479003906	1.53048372268676757812	88
4898083644293246473	0.29297995567321777344	31.28643107414245605469	30.99345111846923828125	786
-3351191613671353280	0.30467200279235839844	16.79882502555847167969	16.49415302276611328125	6123
1482148104701050397	0.30718588829040527344	58.80244421958923339844	58.49525833129882812500	16716
-3580435834622201684	0.31386494636535644531	0.31386494636535644531	0.00000000000000000000	126
-4732516037161603275	0.34723997116088867188	1.20591616630554199219	0.85867619514465332031	120
5861144252758214073	0.35540795326232910156	58.63035988807678222656	58.27495193481445312500	99105
-9036514427367218602	0.36763191223144531250	59.76371908187866210938	59.39608716964721679688	2080
-8827382130224554667	0.39648509025573730469	0.39648509025573730469	0.00000000000000000000	40
-1674956289733720041	0.41352891921997070312	5.57048702239990234375	5.15695810317993164062	220
-1690574710510585086	0.41516709327697753906	31.41369509696960449219	30.99852800369262695312	440418
201229238444153633	0.42925500869750976562	59.77465224266052246094	59.34539723396301269531	5548
-131161154667482864	0.45560097694396972656	34.87169408798217773438	34.41609311103820800781	467
-6330631217525877397	0.45959806442260742188	55.75521087646484375000	55.29561281204223632812	864
-2941043977971241550	0.47510600090026855469	7.58610105514526367188	7.11099505424499511719	1545
91562968931918201	0.50200510025024414062	50.48321509361267089844	49.98120999336242675781	456
-2299971535503393529	0.50210499763488769531	0.85801506042480468750	0.35591006278991699219	80
6378828053968320796	0.53574013710021972656	1.17198777198791503906	0.63624763488769531250	1952
-6682438006155146729	0.53632283210754394531	0.53637003898620605469	0.00004720687866210938	396
6281072521434798053	0.61235189437866210938	45.95662498474121093750	45.34427309036254882812	7951
-5621593929044063935	0.63719296455383300781	48.64967894554138183594	48.01248598098754882812	4985
1505529619383472528	0.64205694198608398438	45.78315210342407226562	45.14109516143798828125	104
-3744838595601925597	0.65043997764587402344	1.28552699089050292969	0.63508701324462890625	165
4621159637733136558	0.65474677085876464844	25.32091593742370605469	24.66616916656494140625	80911
-8965088272039274722	0.68281698226928710938	0.68281698226928710938	0.00000000000000000000	266
-6700991563243259562	0.70118689537048339844	0.81867003440856933594	0.11748313903808593750	139
-1623580060130231129	0.70460104942321777344	41.22888278961181640625	40.52428174018859863281	1558
-5074665653590074077	0.74491000175476074219	47.33025217056274414062	46.58534216880798339844	270
4120403811170523143	0.75113606452941894531	1.13924980163574218750	0.38811373710632324219	1842
-4040974169040674364	0.75600099563598632812	0.75600099563598632812	0.00000000000000000000	52
3274315030085241556	0.76669597625732421875	0.76669597625732421875	0.00000000000000000000	40
-1824306274313312831	0.77372598648071289062	0.77372598648071289062	0.00000000000000000000	316
-1392609716526325098	0.80093097686767578125	29.42499589920043945312	28.62406492233276367188	260
6950231131604216279	0.81150293350219726562	37.46296715736389160156	36.65146422386169433594	512
4981942791626993222	0.83083796501159667969	5.85069417953491210938	5.01985621452331542969	135
1722160977766152998	0.86189079284667968750	0.86189079284667968750	0.00000000000000000000	147
3943507259478973773	0.89398312568664550781	2.83994197845458984375	1.94595885276794433594	733
5306880176667687049	0.90507292747497558594	0.90507292747497558594	0.00000000000000000000	40
-2641540799726142927	0.91199493408203125000	56.13429307937622070312	55.22229814529418945312	208
5660898017895478775	0.91215205192565917969	1.68920183181762695312	0.77704977989196777344	1713
-8448462029136724551	0.91228199005126953125	2.53300189971923828125	1.62071990966796875000	3346
-2527943535200858093	0.91609883308410644531	0.91609883308410644531	0.00000000000000000000	40
-4999929070911738968	0.93242216110229492188	45.75503492355346679688	44.82261276245117187500	256
-7513531258843436383	0.94772291183471679688	59.88400983810424804688	58.93628692626953125000	52692
